fen,score_cp
"1B1k4/7r/1p2n2P/pPp2p2/P1Pp4/3P1K2/7R/8 w - - 3 47",218
"1B2k3/P7/2b5/6Rp/7P/8/r5P1/4K3 w - - 3 66",262
"1B2k3/P7/4b2p/6p1/3R4/r3p2P/6PK/8 w - - 0 43",79
"1B2k3/P7/4b2p/6p1/3R1p2/r3p2P/5PPK/8 w - - 0 42",23
"1B2k3/P7/4b3/6pp/r7/7P/3R2PK/8 w - - 0 48",131
"1B2k3/P7/4b2p/6p1/r7/7P/5RPK/8 w - - 5 47",246
"1B2k3/P7/4b3/7p/7P/5Rp1/r5P1/4K3 w - - 6 64",199
"1B2k3/P7/8/3b3p/7P/6R1/r5P1/4K3 w - - 1 65",262
"1B3n2/5k2/1p6/pPp2p1r/P1Pp3P/3P1K2/7R/8 w - - 19 42",116
"1B4k1/5pp1/1p2b3/p6p/Pb6/1P1N1P2/6PP/5K2 b - - 2 36",148
"1B4k1/5pp1/1p6/p4b1p/Pb6/1P3P2/6PP/4NK2 b - - 0 35",68
"1B6/4n3/4kp2/7P/4P3/4K3/8/8 w - - 27 59",22
"1B6/P2k4/2b5/4R2p/7P/8/r5P1/4K3 w - - 5 67",302
"1B6/P2k4/8/7R/7P/8/r5b1/4K3 w - - 0 68",287
"1B6/P3k3/4b3/6pp/r7/7P/5RPK/8 w - - 4 50",93
"1B6/P4k2/4b2p/6p1/4R3/r3p2P/6PK/8 w - - 2 44",98
"1B6/P4k2/2R5/5bpp/8/7P/r5P1/6K1 w - - 16 56",65
"1B6/P4k2/4b2p/6p1/8/4R2P/r5PK/8 w - - 1 45",130
"1B6/P4k2/4b2p/6p1/r7/7P/4R1PK/8 w - - 3 46",116
"1B6/P4k2/4b3/6pp/1R6/7P/r5P1/5K2 w - - 22 59",60
"1B6/P4k2/4b3/6pp/3R4/7P/r5P1/5K2 b - - 23 59",12
"1B6/P4k2/4b3/6pp/r7/7P/4R1PK/8 w - - 2 49",138
"1B6/P4k2/4b3/6pp/r7/7P/4R1PK/8 w - - 6 51",135
"1B6/P4k2/4b3/7p/3R2p1/7P/r5P1/5K2 w - - 0 60",129
"1B6/P4k2/4b3/7p/3R2pP/8/r5P1/5K2 b - - 0 60",260
"1B6/P4k2/4b3/7p/7P/3R2p1/r5P1/4K3 w - - 4 63",222
"1B6/P4k2/4b3/7p/3R3P/6p1/r5P1/5K2 w - - 0 61",73
"1B6/P4k2/8/5bpp/1R6/7P/r5P1/6K1 w - - 20 58",99
"1B6/P4k2/8/5bpp/1R6/7P/r5P1/5K2 b - - 21 58",291
"1B6/P4k2/8/5bpp/2R5/7P/r5P1/6K1 b - - 17 56",229
"1B6/P4k2/8/7p/3R2bP/6p1/r5P1/4K3 w - - 2 62",107
"1B6/P4k2/8/7p/6bP/3R2p1/r5P1/4K3 b - - 3 62",327
"1B6/P7/4b1k1/1R4pp/8/7P/r5P1/6K1 w - - 12 54",83
"1B6/P7/4b1k1/1R4pp/r7/7P/6P1/6K1 b - - 11 53",345
"1B6/P7/4b1k1/1R4pp/r7/7P/6PK/8 w - - 10 53",111
"1B6/P7/4b1k1/2R3pp/8/7P/r5P1/6K1 b - - 13 54",7
"1B6/P7/4bk2/4R1pp/r7/7P/6PK/8 w - - 8 52",92
"1B6/P7/6k1/2R2bpp/8/7P/r5P1/6K1 w - - 14 55",87
"1B6/P7/6k1/5bpp/1R6/7P/r5P1/6K1 b - - 19 57",11
"1B6/P7/6k1/5bpp/2R5/7P/r5P1/6K1 w - - 18 57",56
"1Bk5/7r/1p2n2P/pPp2p1R/P1Pp4/3P1K2/8/8 w - - 5 48",238
"1K1B4/2P5/2r5/4k3/8/8/8/7b w - - 6 74",2
"1K1B4/2P5/2r5/8/5k2/8/8/7b b - - 1 71",4
"1K1B4/2P5/2r5/8/5k2/8/8/7b b - - 5 73",4
"1K2R3/2P2k2/P4p2/4Pbp1/8/1P4b1/7p/7R w - - 1 55",341
"1K2R3/2P2pk1/8/4Pbp1/P7/1P4b1/7p/7R w - - 0 53",275
"1K2R3/2P3k1/5p2/P3Pbp1/8/1P4b1/7p/7R w - - 0 54",396
"1K2R3/5pk1/2P3p1/4Pb2/P7/1P4b1/7p/7R w - - 2 52",357
"1K2R3/5pk1/2P3p1/4Pb2/P7/1P6/5b1p/3R4 w - - 0 51",323
"1K2k3/2Pb4/2Q2p2/4b1p1/8/1P6/7p/7R w - - 2 58",494
