fen,result
r1b1kb1r/1pq2ppp/p3p3/8/3pn3/3P4/PPP1NPPP/R1BQ1RK1 w kq - 0 11,0.5
r1bqk2r/4bppp/p1np1n2/1p1Np1B1/4P3/N7/PPP2PPP/R2QKB1R w KQkq - 2 11,0.5
r1b2rk1/pp2bppp/2n1pn2/2q3B1/2B5/2N1PN2/PP3PPP/2RQK2R w K - 0 11,0.5
r1bq1rk1/5pbp/1pn1pnp1/p1pp4/P3P3/2PP1NP1/1P1N1PBP/R1BQR1K1 w - - 0 11,1.0
rn3rk1/pp2bpp1/2p1pn1p/2Pp1b2/3P4/1PN2NP1/1P2PPBP/R1B2RK1 w - - 3 11,0.0
r2qkb1r/2p2ppp/2npbn2/1p6/2P1P3/1PN5/1B1Q1PPP/3RKBNR w Kkq - 0 11,0.0
r1bq1rk1/1p1n1pbp/p2p1np1/1B6/3P4/2N2N2/PP3PPP/R1BQ1RK1 w - - 0 11,0.5
r2qk2r/pb1pbppp/1pn5/2pn4/8/5NP1/PPQ1PPBP/RNBR2K1 w kq - 4 11,0.0
r4rk1/pp1qppbp/2np1np1/8/2PNP3/2N1BP2/PP4PP/R2QK2R w KQ - 1 11,0.5
r1b2rk1/p2n1ppp/1p1qpn2/3p3P/3P4/2P2N2/PP1N1PP1/R2QKB1R w KQ - 1 11,0.5
r1bqk2r/p1p1bppp/1np5/3pP3/2P5/1N1B4/PP3PPP/R1BQK2R w KQkq d6 0 11,0.5
rnbq1rk1/pp2ppb1/3p3p/2P3p1/2P5/2N1PNn1/PP2BPPP/R2QK2R w KQ - 0 11,0.0
r1bq1rk1/2p2ppp/p1nbpn2/1p6/2BP4/2N1PN2/PPQB1PPP/R4RK1 w - - 0 11,0.5
r3kbnr/ppq2ppp/2n1p3/3pPb2/NPpP4/2P1BN2/P3BPPP/R2QK2R w KQkq - 1 11,0.5
r4rk1/pb1nqppp/1ppbpn2/3p4/2PP4/1PN1PN2/PBQ1BPPP/R4RK1 w - - 4 11,0.0
rnbr2k1/ppp2pbp/6p1/4p3/8/1P4P1/PBP1PPBP/RN3RK1 w - - 0 11,0.5
r1bnkb1r/pp3p1p/6p1/2pBpq2/8/2P2Q2/PP1P1PPP/RNB2RK1 w kq - 3 11,1.0
r1bqkb1r/pp3pp1/2n1p3/3p2P1/3Nn3/2N5/PPP2P2/R1BQKBR1 w Qkq - 0 11,1.0
r1bqk2r/p1pn1ppp/1p1p1n2/3Pp3/2P1P3/2PB1N2/P1Q2PPP/R1B2RK1 w kq - 2 11,1.0
r1bq1rk1/ppp2ppp/2n1p3/3n4/Q1pP4/P4NP1/1P2PPBP/RN3RK1 w - - 1 11,1.0
r2q1rk1/1pp1bpp1/p1npbn1p/4p3/P1B1P3/2PP1NB1/1P3PPP/RN1Q1RK1 w - - 3 11,0.0
rnb1k2r/1p2bppp/p3p3/3q4/3N2P1/P4Q2/1PP2P1P/R1B1KB1R w KQkq - 0 11,0.5
r1bq1rk1/pp2bppp/3p1n2/2p5/8/2PBBN2/PPPQ1PPP/2KR3R w - - 0 11,0.5
3qk2r/p1p1bppp/brn1pn2/1p6/2pP4/1P2PNP1/P3QPBP/RNBR2K1 w k - 3 11,0.0
r1bqrnk1/pp3ppp/2pb1p2/8/3P4/2PB2N1/PP3PPP/R1BQ1RK1 w - - 9 11,0.5
r1bq1rk1/pp1nppbp/6p1/1Pp1n3/2Pp4/3P1NP1/PB1NPPBP/R2QK2R w KQ - 3 11,1.0
r2qk2r/1p3ppp/2n1bn2/p1bp2B1/8/P4NP1/1P2PPBP/RN1Q1RK1 w kq - 2 11,1.0
r2q1rk1/pp1nbppp/4pn2/2p2b2/3P4/4PNP1/PP2QPBP/RNB2RK1 w - - 0 11,0.0
2r1kbnr/p1qp1ppp/1p2p3/8/2PQ4/2N3P1/PP2PPKP/R1B2R2 w k - 3 11,1.0
r2qk2r/1p1n1ppp/p2pbb2/3Np3/4P3/5N2/PPP1BPPP/R2QK2R w KQkq - 2 11,0.0
2rqkb1r/p2b1ppp/2n1pn2/1p6/2pP4/5NP1/PPQ1PPBP/RNB2RK1 w k - 2 11,1.0
r3k2r/1ppq2pp/p1nbpn2/1B1p4/3P4/2N1B3/PPP1QPPP/R3K2R w KQkq - 0 11,1.0
r1bqr1k1/pp1n1pbp/3p1np1/2pP4/4P3/2N5/PP1NBPPP/R1BQ1RK1 w - - 5 11,0.5
